,email,Customer Address,Company Name,Funnel,SocialMedia,Priority,Products,Revenue,Costs,Campaing,phone
0,erin49@hotmail.com,"902 Davis Springs,Lake April, KS 96466",Nicholson PLC,Proposals,Instagram,Low,Product1,3000,190.0,MyDataset1,+1-336-115-5348
1,ericksonchristopher@hotmail.com,"33760 Manning Rue Apt. 118,Billyburgh, OH 92606",Cross Group,Prospects,Google,High,Product1,4000,210.0,MyDataset3,+1-030-979-7088x8969
2,gina32@jackson.net,"7713 Rodgers Burgs,Nicoleport, NH 09431",Baxter Group,Prospects,Instagram,High,Product2,4000,325.0,MyDataset3,+1-230-305-7941x5425
3,guzmanlevi@hotmail.com,"714 Miller Mountain Apt. 689,Port Frankland, NV 82907",Collins-Perez,Qualified Prospects,Organic,Medium,Product2,5000,495.0,MyDataset3,001-943-825-7031x1926
4,imendoza@guerra.biz,"Unit 6866 Box 0910,DPO AP 11919","Payne, Perez and Delgado",Qualified Prospects,Google,Medium,Product2,2000,50.0,MyDataset1,(005)094-9130x32605
5,jenniferhernandez@miller.com,"4107 Andrade Orchard,West Gregoryborough, WV 85158",Turner-Thompson,Qualified Prospects,Organic,Medium,Product1,3000,250.0,MyDataset3,+1-461-673-1098
6,brooke38@ali.biz,"88463 Johnson Parkways,Lisaberg, WI 90198",Barber PLC,Proposals,Instagram,Low,Product3,4000,340.0,MyDataset3,593-757-4929
7,hillamber@baker.com,"USCGC Welch,FPO AA 73740",Sloan-Martin,Prospects,Organic,High,Product2,2000,45.0,MyDataset2,(750)918-8839x8171
8,josephjordan@gmail.com,"18558 Horne Shore Suite 339,North Andrewborough, IA 94063",Luna-Mitchell,Prospects,Organic,High,Product3,2000,100.0,MyDataset2,+1-107-925-8137x57810
9,shane30@yahoo.com,"USNV Melendez,FPO AE 46169",Meza-Collins,Qualified Prospects,Facebook,Medium,Product2,5000,120.0,MyDataset2,5882346272
10,fcox@evans-young.net,"PSC 7183, Box 6557,APO AP 67803",Sullivan Group,Prospects,Organic,High,Product2,2000,160.0,MyDataset4,599-911-0977x7687
11,larrymacdonald@anderson.com,"1460 Allison Drive Apt. 582,Hollowaychester, ID 65031",Schroeder-Bell,Prospects,Instagram,High,Product3,3000,100.0,MyDataset4,+1-465-760-8665x1901
12,john45@gmail.com,"55079 Mendoza Tunnel,North Doristown, WI 56759",Butler Inc,Prospects,Instagram,High,Product3,3000,165.0,MyDataset4,629-096-2446x67264
13,penabryan@richardson.org,"31713 Goodwin Land,Frankmouth, OK 06337",Palmer-Rojas,Prospects,Google,High,Product3,2000,165.0,MyDataset1,013-634-5584x317
14,kelly79@duncan-sandoval.com,"463 Lawrence Island,Port Andrew, NY 86102","Sutton, Stanley and Oneill",Prospects,Facebook,High,Product1,5000,305.0,MyDataset4,(049)094-7676x0377
15,steven76@gmail.com,"Unit 6031 Box 1389,DPO AE 68756","Cook, Gardner and Hicks",Prospects,Google,High,Product2,2000,45.0,MyDataset3,131.040.5855
16,james82@doyle.com,"71551 Angela Park Suite 436,West Crystal, OH 34474",Taylor and Sons,Prospects,Facebook,High,Product1,3000,225.0,MyDataset4,(215)177-5474x7522
17,jenniferhernandez@velez-taylor.com,"48064 Jason Stravenue,Russellmouth, NV 95638",Kelley PLC,Prospects,Facebook,High,Product2,2000,160.0,MyDataset4,(458)457-6762x11605
18,gomezannette@wilson.com,"36174 Sarah Inlet,Reginaldbury, VA 24319",Moore-Munoz,Qualified Prospects,Organic,Medium,Product2,2000,160.0,MyDataset3,349-067-5987x08406
19,daniel78@nunez.com,"286 Horne Rapids Apt. 505,Stephanieshire, ME 05710",Alvarez-Benson,Proposals,Organic,Low,Product2,2000,140.0,MyDataset1,001-292-657-5502x12497
20,bobrien@thomas.net,"7688 Jennifer Plains,New Nancy, NH 65203","Bradford, Gutierrez and Martinez",Qualified Prospects,Organic,Medium,Product2,2000,120.0,MyDataset3,001-626-502-2807x1664
21,shirley47@hotmail.com,"62943 Melissa Throughway Apt. 591,Mahoneyshire, HI 35717",Holmes PLC,Qualified Prospects,Instagram,Medium,Product3,2000,25.0,MyDataset1,723.626.9306
22,jhodge@jones.org,"8865 Callahan Tunnel Suite 453,West Conniechester, MS 79191",Barber LLC,Qualified Prospects,Instagram,Medium,Product2,4000,375.0,MyDataset2,(384)826-7438x573
23,edwardhood@gmail.com,"8690 James Island,Williamsshire, WY 07482",Cohen PLC,Prospects,Instagram,High,Product3,4000,390.0,MyDataset4,004.200.2950
24,daniellong@martinez-griffith.com,"4204 Smith Ports,North Jamie, NY 40367","Zavala, Sutton and Richardson",Qualified Prospects,Instagram,Medium,Product1,5000,50.0,MyDataset1,060-918-7310
25,wolfsteven@jimenez.com,"04521 Williams Villages Apt. 802,Keithshire, TX 65672",Lamb-Barr,Prospects,Google,High,Product2,2000,20.0,MyDataset2,(266)758-0873x078
26,adam84@yahoo.com,"Unit 9191 Box 5679,DPO AP 70494",Greene Ltd,Prospects,Organic,High,Product2,4000,395.0,MyDataset1,557.068.5062x4789
27,david77@dixon.net,"1857 Hahn Estates,Michealhaven, AK 10390",Terrell-Richardson,Prospects,Instagram,High,Product3,3000,255.0,MyDataset3,048.127.5819x24524
28,qpadilla@yahoo.com,"22281 Morgan Tunnel Suite 456,Davisshire, CT 87396",Johnson-Clark,Proposals,Organic,Low,Product2,2000,180.0,MyDataset4,+1-444-091-7827x42401
29,oroberts@soto.com,"PSC 7446, Box 1019,APO AA 15062",Curtis Inc,Prospects,Organic,High,Product1,4000,190.0,MyDataset4,(968)896-9149x33096
30,tammycaldwell@carr.biz,"11902 Travis Springs,New Lawrence, AR 16782",Phillips PLC,Qualified Prospects,Google,Medium,Product2,4000,245.0,MyDataset2,(794)744-0538x9605
31,thomaskendra@thompson.org,"Unit 1167 Box 4439,DPO AA 19009",Potts-Nelson,Proposals,Organic,Low,Product2,3000,150.0,MyDataset2,001-374-562-8457x713
32,william68@gmail.com,"5196 Scott Rapids Apt. 734,North Samuel, CO 31223",Price-Mcgee,Prospects,Instagram,High,Product2,4000,180.0,MyDataset3,(457)136-8509
33,david12@hotmail.com,"5478 Susan Spur,Jeffreyburgh, ID 54802",Paul-Huff,Qualified Prospects,Instagram,Medium,Product3,4000,60.0,MyDataset2,001-300-070-4720
34,joefoster@skinner-sims.biz,"5505 Jackson Corner Apt. 939,South Jeanettetown, FL 13916","Hernandez, Sharp and Ross",New,Google,Very low,Product3,5000,275.0,MyDataset3,001-038-881-5237x691
35,rebeccabrowning@rivera.com,"9464 Harris Camp Suite 416,Haynesfurt, TX 99545",Smith and Sons,Prospects,Instagram,High,Product2,5000,190.0,MyDataset4,034.730.9794
36,smithdanny@mendoza.biz,"2091 Nicole Prairie,Davidhaven, SC 95794","Garrett, Frazier and Cooper",Prospects,Google,High,Product3,4000,315.0,MyDataset2,2515799410
37,keithwall@donaldson.biz,"0403 Palmer Course Apt. 545,North Cheyenne, WV 92652",Smith-Smith,Qualified Prospects,Facebook,Medium,Product1,2000,120.0,MyDataset1,+1-065-594-2018
38,elewis@garcia.net,"PSC 8634, Box 9045,APO AE 94628",Williams-Aguilar,Qualified Prospects,Google,Medium,Product2,4000,290.0,MyDataset2,+1-614-537-0996x652
39,jclark@ramos-garcia.org,"0638 Welch Pike Suite 212,Williamsville, TX 10403",Silva-Brown,Prospects,Organic,High,Product2,2000,195.0,MyDataset2,066.347.1949x5705
40,brandidavidson@gmail.com,"8750 Lawson Knoll Suite 506,Michelleside, WY 37522","Daniels, Sheppard and Macdonald",New,Instagram,Very low,Product3,2000,165.0,MyDataset4,(595)182-7347
41,amandacastro@gmail.com,"02566 Fuller Well Suite 891,Jackbury, NY 38091",Simmons-Young,Prospects,Facebook,High,Product1,4000,295.0,MyDataset4,(513)485-0400x08042
42,webbdawn@miller.com,"4308 Watkins Corner,Hornland, SC 31893",Mckay LLC,Proposals,Organic,Low,Product2,4000,200.0,MyDataset1,7928712031
43,philipschmidt@gmail.com,"28699 Derrick Radial Apt. 791,East Gregoryview, OR 16833",Petersen-Rodriguez,Prospects,Instagram,High,Product2,4000,40.0,MyDataset4,(581)765-9870
44,robert45@yahoo.com,"8446 Sara Cove Suite 137,Samanthaberg, NH 10941","Perez, Curtis and Watson",Prospects,Organic,High,Product1,3000,35.0,MyDataset4,(601)653-2299x37357
45,noahstrong@hernandez.com,"0016 Alexandra Cliffs Suite 827,New Howardport, UT 71916",Shaw-Hayes,Prospects,Google,High,Product3,4000,400.0,MyDataset1,001-245-183-5060
46,morrisonanthony@odonnell.info,"55370 Bishop Rest,Buchananport, ID 97493",Cox-Stewart,Prospects,Facebook,High,Product3,4000,150.0,MyDataset2,950.324.9154x30974
47,jeanne27@foster.com,"166 Evans Port Suite 286,Port Arianafurt, WI 17482",Pope-Williams,Prospects,Instagram,High,Product1,4000,130.0,MyDataset1,001-420-662-2536
48,annaabbott@yahoo.com,"341 Farmer Meadow Apt. 781,Brianville, MO 43849",Gross-Black,Qualified Prospects,Google,Medium,Product2,3000,115.0,MyDataset1,(227)403-1766
49,hbrown@yahoo.com,"502 Brown Circle Suite 131,Lake Stephenfort, AR 41434","Rivera, Morales and Johnson",Prospects,Organic,High,Product3,4000,155.0,MyDataset4,(537)119-9475x25261
50,benjaminwhite@yahoo.com,"065 Brooks Roads Suite 443,Michaelside, OR 69501",Kirby and Sons,Proposals,Instagram,Low,Product3,2000,60.0,MyDataset1,001-400-632-1617x901
51,ynguyen@yahoo.com,"12449 Crawford Square Apt. 307,Lake Janetmouth, NV 46801",Dennis-Martin,Qualified Prospects,Google,Medium,Product1,2000,70.0,MyDataset1,7147511059
52,ashleylloyd@hotmail.com,"40357 Craig Mill,Port Crystal, IA 73909","Smith, Miller and Mcdaniel",Prospects,Google,High,Product2,2000,130.0,MyDataset4,+1-366-778-8412
53,wongchristian@velasquez-frederick.biz,"939 Thomas Bypass,Jamesshire, WA 06849",Parker-Kennedy,Proposals,Google,Low,Product2,3000,215.0,MyDataset1,672.872.9075x716
54,drakebenjamin@gmail.com,"6091 Jackson Brooks Suite 857,South Steven, OH 06240","Garcia, Macdonald and Rocha",Prospects,Facebook,High,Product2,4000,60.0,MyDataset3,(093)104-7098x12834
55,opatel@hotmail.com,"56401 Hayley Alley Suite 479,Michaelstad, NJ 19078","Pratt, Anderson and Fields",Qualified Prospects,Google,Medium,Product1,2000,180.0,MyDataset3,(543)926-5613
56,sbrown@brown.com,"742 Leslie Circle Suite 252,West Russell, KS 69129",Wheeler PLC,Proposals,Organic,Low,Product3,2000,75.0,MyDataset2,950.639.0200
57,frederickneal@hotmail.com,"6460 Courtney Circles Apt. 687,South Jamieton, NH 46367",Palmer PLC,Qualified Prospects,Organic,Medium,Product3,2000,145.0,MyDataset1,210-539-4487
